"PSU_ID","component_tracts","SSU_ID","component_bgs","n_bgs_combined","NAME","TotHH","TotPerson","TotAdult18plus","Q1_18_34","Q2_35_49","Q3_50_64","Q4_65plus","PSU_Si","Sij","pi1","pi2_cond","pi_joint","base_weight","rate_d1","rate_d2","rate_d3","rate_d4"
"26163525700","26163525700","261635257004","261635257004",1,"Block Group 4; Census Tract 5257; Wayne County; Michigan",433,1368,889,298,312,191,88,13.1989440480797,4.04611915604356,0.245053786917026,0.306548701267676,0.07512092012014,13.3118710260832,0.0589282107646097,0.065289602932583,0.0565197516456068,0.058354328116885
"26163526400","26163526400","261635264001","261635264001",1,"Block Group 1; Census Tract 5264; Wayne County; Michigan",248,742,506,201,144,97,64,4.35127798653202,2.28843609101931,0.0807865496394383,0.525922751454269,0.0424874844668703,23.5363428206665,0.104189303490603,0.11543670113957,0.0999309750119582,0.103174637805425
"26163530800","26163530800","261635308001","261635308001",1,"Block Group 1; Census Tract 5308; Wayne County; Michigan",545,791,648,173,141,198,136,4.87890536757781,2.89422229602493,0.0905825672098889,0.593211402553151,0.0537346117414433,18.6099790729248,0.0823815650696673,0.0912747833774985,0.0790145422285643,0.0815792778447126
"26163531800","26163531800","261635318001","261635318001",1,"Block Group 1; Census Tract 5318; Wayne County; Michigan",465,779,576,191,139,153,93,5.04387205633802,2.58453657738305,0.0936453661465762,0.512411208792534,0.0479849352649866,20.8398738995419,0.0922527328467837,0.102211559096403,0.0884822648010915,0.0913543135345561
"26163533600","26163533600","261635336001","261635336001",1,"Block Group 1; Census Tract 5336; Wayne County; Michigan",414,574,438,130,106,123,79,4.65489755557312,1.96390775065892,0.0864236009751064,0.421901390355543,0.0364622374109301,27.4256346019029,0.121406192488452,0.134512180130339,0.116444191307554,0.120223857130032
"26163534700","26163534700","261635347003","261635347003",1,"Block Group 3; Census Tract 5347; Wayne County; Michigan",559,1188,887,270,205,250,162,9.92377025275464,3.97226839640737,0.184246366381548,0.400278149859904,0.0737497946536161,13.5593597880068,0.0600237795164351,0.0665034400381716,0.0575705433285786,0.0594392274815374
"26163535600","26163535600","261635356002","261635356002",1,"Block Group 2; Census Tract 5356; Wayne County; Michigan",382,936,725,232,146,158,189,12.9480742622437,3.24242291824125,0.240396096815587,0.250417386599032,0.060199362313167,16.6114716431353,0.0735346894646886,0.0814728737666623,0.0705292479095101,0.0728185590792239
"26163536500","26163536500","261635365002","261635365002",1,"Block Group 2; Census Tract 5365; Wayne County; Michigan",644,1207,906,275,234,224,173,7.17634220238867,4.07446466939577,0.133237160980591,0.567763430796203,0.0756471876278863,13.2192620949647,0.0585182549739517,0.0648353917755722,0.0561265511874048,0.0579483647521219
"26163537200_26163537300","26163537300","261635373003","261635373003",1,"Block Group 3; Census Tract 5373; Wayne County; Michigan",519,1012,752,223,185,200,144,8.81697699648273,3.37492310682397,0.163697458999589,0.382775537258438,0.0626593828164087,15.9593017845386,0.0706477021428908,0.078274231665267,0.0677602548531313,0.0699596871864657
"26163538200","26163538200","261635382001","261635382001",1,"Block Group 1; Census Tract 5382; Wayne County; Michigan",436,1105,905,193,222,222,268,7.26440863782513,4.06056978942633,0.134872217044574,0.558967700176351,0.0753892129790912,13.2644971406897,0.0587184988242118,0.0650572522614673,0.0563186108569316,0.0581466584927572
