"PSU_ID","component_tracts","SSU_ID","component_bgs","n_bgs_combined","NAME","TotHH","TotPerson","TotAdult18plus","Q1_18_34","Q2_35_49","Q3_50_64","Q4_65plus","Sij","PSU_Si","Si_check","mos_diff","pi2_cond"
"26163521800_26163521900","26163521900","261635219005","261635219005",1,"Block Group 5; Census Tract 5219; Wayne County; Michigan",483,990,628,245,104,151,128,2.79685453433368,16.0225471384131,16.0225471384131,3.5527136788005e-15,0.174557422747622
"26163523300","26163523300","261635233001","261635233001",1,"Block Group 1; Census Tract 5233; Wayne County; Michigan",372,927,639,236,218,124,61,2.90779968669254,9.15145629901498,9.15145629901497,1.77635683940025e-15,0.31774174422988
"26163523300","26163523300","261635233002","261635233002",1,"Block Group 2; Census Tract 5233; Wayne County; Michigan",355,1053,738,288,206,161,83,3.33266992040692,9.15145629901498,9.15145629901497,1.77635683940025e-15,0.364168260385578
"26163523300","26163523300","261635233003","261635233003",1,"Block Group 3; Census Tract 5233; Wayne County; Michigan",330,934,646,277,165,136,68,2.91098669191551,9.15145629901498,9.15145629901497,1.77635683940025e-15,0.318089995384542
"26163524200","26163524200","261635242001","261635242001",1,"Block Group 1; Census Tract 5242; Wayne County; Michigan",547,1593,1070,430,347,182,111,4.86472171642707,13.0806488632345,13.0806488632345,1.77635683940025e-15,0.371902171466449
"26163524200","26163524200","261635242002","261635242002",1,"Block Group 2; Census Tract 5242; Wayne County; Michigan",319,993,670,258,198,140,74,3.03201594951383,13.0806488632345,13.0806488632345,1.77635683940025e-15,0.231794002057179
"26163524200","26163524200","261635242003","261635242003",1,"Block Group 3; Census Tract 5242; Wayne County; Michigan",597,1780,1144,434,356,255,99,5.18391119729365,13.0806488632345,13.0806488632345,1.77635683940025e-15,0.396303826476372
"26163525700","26163525700","261635257001","261635257001",1,"Block Group 1; Census Tract 5257; Wayne County; Michigan",480,1436,946,349,304,198,95,4.29305217375618,13.1989440480797,13.1989440480797,0,0.325257244679415
"26163525700","26163525700","261635257002_261635257003","261635257002,261635257003",2,"Block Group 2; Census Tract 5257; Wayne County; Michigan | Block Group 3; Census Tract 5257; Wayne County; Michigan",570,1599,1071,410,340,217,104,4.85977271827999,13.1989440480797,13.1989440480797,0,0.368194054052909
"26163525700","26163525700","261635257004","261635257004",1,"Block Group 4; Census Tract 5257; Wayne County; Michigan",433,1368,889,298,312,191,88,4.04611915604356,13.1989440480797,13.1989440480797,0,0.306548701267676
"26163526400","26163526400","261635264001","261635264001",1,"Block Group 1; Census Tract 5264; Wayne County; Michigan",248,742,506,201,144,97,64,2.28843609101931,4.35127798653202,4.35127798653202,0,0.525922751454269
"26163526400","26163526400","261635264002","261635264002",1,"Block Group 2; Census Tract 5264; Wayne County; Michigan",260,675,458,162,121,108,67,2.06284189551271,4.35127798653202,4.35127798653202,0,0.474077248545731
"26163530800","26163530800","261635308001","261635308001",1,"Block Group 1; Census Tract 5308; Wayne County; Michigan",545,791,648,173,141,198,136,2.89422229602493,4.87890536757781,4.87890536757781,0,0.593211402553151
"26163530800","26163530800","261635308002","261635308002",1,"Block Group 2; Census Tract 5308; Wayne County; Michigan",466,603,444,160,90,112,82,1.98468307155288,4.87890536757781,4.87890536757781,0,0.406788597446849
"26163531800","26163531800","261635318001","261635318001",1,"Block Group 1; Census Tract 5318; Wayne County; Michigan",465,779,576,191,139,153,93,2.58453657738305,5.04387205633802,5.04387205633802,0,0.512411208792534
"26163531800","26163531800","261635318002","261635318002",1,"Block Group 2; Census Tract 5318; Wayne County; Michigan",495,721,551,158,116,169,108,2.45933547895497,5.04387205633802,5.04387205633802,0,0.487588791207466
"26163533600","26163533600","261635336001","261635336001",1,"Block Group 1; Census Tract 5336; Wayne County; Michigan",414,574,438,130,106,123,79,1.96390775065892,4.65489755557312,4.65489755557312,0,0.421901390355543
"26163533600","26163533600","261635336002","261635336002",1,"Block Group 2; Census Tract 5336; Wayne County; Michigan",577,816,597,172,169,156,100,2.6909898049142,4.65489755557312,4.65489755557312,0,0.578098609644457
"26163534700","26163534700","261635347001","261635347001",1,"Block Group 1; Census Tract 5347; Wayne County; Michigan",544,1104,764,237,192,180,155,3.43453341600225,9.92377025275464,9.92377025275464,1.77635683940025e-15,0.34609158903582
"26163534700","26163534700","261635347002","261635347002",1,"Block Group 2; Census Tract 5347; Wayne County; Michigan",360,764,563,162,124,164,113,2.51696844034502,9.92377025275464,9.92377025275464,1.77635683940025e-15,0.253630261104277
"26163534700","26163534700","261635347003","261635347003",1,"Block Group 3; Census Tract 5347; Wayne County; Michigan",559,1188,887,270,205,250,162,3.97226839640737,9.92377025275464,9.92377025275464,1.77635683940025e-15,0.400278149859904
"26163535600","26163535600","261635356001","261635356001",1,"Block Group 1; Census Tract 5356; Wayne County; Michigan",299,659,531,133,114,152,132,2.37188598550138,12.9480742622437,12.9480742622437,1.77635683940025e-15,0.183184459515942
"26163535600","26163535600","261635356002","261635356002",1,"Block Group 2; Census Tract 5356; Wayne County; Michigan",382,936,725,232,146,158,189,3.24242291824125,12.9480742622437,12.9480742622437,1.77635683940025e-15,0.250417386599032
"26163535600","26163535600","261635356003","261635356003",1,"Block Group 3; Census Tract 5356; Wayne County; Michigan",457,1062,808,212,184,222,190,3.61637930046789,12.9480742622437,12.9480742622437,1.77635683940025e-15,0.279298622113496
"26163535600","26163535600","261635356004","261635356004",1,"Block Group 4; Census Tract 5356; Wayne County; Michigan",475,1070,832,239,170,208,215,3.71738605803317,12.9480742622437,12.9480742622437,1.77635683940025e-15,0.287099531771531
"26163536500","26163536500","261635365001","261635365001",1,"Block Group 1; Census Tract 5365; Wayne County; Michigan",482,890,691,213,166,166,146,3.1018775329929,7.17634220238867,7.17634220238867,0,0.432236569203797
"26163536500","26163536500","261635365002","261635365002",1,"Block Group 2; Census Tract 5365; Wayne County; Michigan",644,1207,906,275,234,224,173,4.07446466939577,7.17634220238867,7.17634220238867,0,0.567763430796203
"26163537200_26163537300","26163537200","261635372001","261635372001",1,"Block Group 1; Census Tract 5372; Wayne County; Michigan",350,583,450,122,131,126,71,2.02877759619058,8.81697699648273,8.81697699648273,0,0.230099000711911
"26163537200_26163537300","26163537300","261635373001","261635373001",1,"Block Group 1; Census Tract 5373; Wayne County; Michigan",297,545,431,120,110,110,91,1.93666676183056,8.81697699648273,8.81697699648273,0,0.219652014812235
"26163537200_26163537300","26163537300","261635373002","261635373002",1,"Block Group 2; Census Tract 5373; Wayne County; Michigan",253,430,328,90,90,87,61,1.47660953163762,8.81697699648273,8.81697699648273,0,0.167473447217416
"26163537200_26163537300","26163537300","261635373003","261635373003",1,"Block Group 3; Census Tract 5373; Wayne County; Michigan",519,1012,752,223,185,200,144,3.37492310682397,8.81697699648273,8.81697699648273,0,0.382775537258438
"26163538200","26163538200","261635382001","261635382001",1,"Block Group 1; Census Tract 5382; Wayne County; Michigan",436,1105,905,193,222,222,268,4.06056978942633,7.26440863782513,7.26440863782513,8.88178419700125e-16,0.558967700176351
"26163538200","26163538200","261635382002","261635382002",1,"Block Group 2; Census Tract 5382; Wayne County; Michigan",333,867,719,129,141,196,253,3.2038388483988,7.26440863782513,7.26440863782513,8.88178419700125e-16,0.44103229982365
"26163538600","26163538600","261635386001","261635386001",1,"Block Group 1; Census Tract 5386; Wayne County; Michigan",515,1235,963,250,248,273,192,4.32379470198797,16.2130675869421,16.2130675869421,3.5527136788005e-15,0.266685787794428
